zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
62215,1.2,65500,1497,19,204,9,9,1742,85.93570608,1.090700344,11.71067738,0.516647532,2.82
62216,2.8,82731,2761,12,14,11,5.6,2807,98.36123976,0.427502672,0.498753117,0.391877449,3.36
62217,0.8,40489,695,0,0,0,18.8,734,94.6866485,0,0,0,3
62218,1.6,98884,1717,0,2,1,3.1,1720,99.8255814,0,0.11627907,0.058139535,3.09
62219,4.7,41087,938,0,13,0,18.1,955,98.21989529,0,1.361256545,0,3.3
62220,4.8,50526,13921,3890,295,147,14.5,19167,72.63004122,20.29529921,1.539103668,0.766943184,2.72
62221,3.3,59562,19048,7352,972,705,10.5,29031,65.61262099,25.32465296,3.348145086,2.428438566,3.09
62223,4.2,54686,12494,3460,353,52,11.8,16665,74.97149715,20.76207621,2.118211821,0.312031203,3.1
62225,4.9,55720,3389,966,484,40,6.8,5239,64.68791754,18.43863333,9.238404276,0.763504486,2.92
62226,3.5,53013,20279,6152,1126,341,14.1,28914,70.13557446,21.27689009,3.894307256,1.17935948,3.67
62230,1.4,69673,6049,4,65,72,3.3,6242,96.90804229,0.064082025,1.041332906,1.15347645,2.98
62231,1.9,56364,6714,183,242,66,11.4,7397,90.76652697,2.473975936,3.271596593,0.892253616,3.09
62232,3.9,49387,5503,588,601,22,15,6988,78.74928449,8.414424728,8.600457928,0.314825415,2.96
62233,1.1,45661,6601,2526,546,15,13.8,9729,67.84869976,25.96361394,5.612087573,0.15417823,3.17
62234,5.5,54091,26356,2794,1980,291,12.2,32056,82.21861742,8.715997005,6.176690791,0.907786374,2.99
62236,3.6,89063,12777,59,230,171,6.6,13293,96.11825773,0.443842624,1.730233958,1.286391334,3.01
62237,2.3,51111,2185,46,85,20,10.4,2397,91.15561118,1.919065499,3.546099291,0.834376304,2.87
62238,4.6,43594,679,0,0,0,13.5,681,99.70631424,0,0,0,3
62239,6.3,45597,4733,171,142,0,13.8,5083,93.11430258,3.364155027,2.793625812,0,3.29
62240,8,42700,1382,55,225,23,21.4,1690,81.77514793,3.25443787,13.31360947,1.360946746,3.15
62241,0.6,56771,971,1,38,0,3,1010,96.13861386,0.099009901,3.762376238,0,3.64
62242,2,51458,1287,0,20,8,18.8,1318,97.64795144,0,1.517450683,0.606980273,2.99
62243,3.6,77904,5489,5,142,0,6,5724,95.89447939,0.087351502,2.480782669,0,2.81
62244,0.2,69803,1033,0,2,0,4.6,1035,99.80676329,0,0.193236715,0,2.92
62245,2.2,63370,1692,0,19,0,6.6,1723,98.20081254,0,1.1027278,0,2.64
